date_id,Date,day,month,year
1,2022-03-31,31,3,2022
2,2022-04-01,1,4,2022
3,2022-04-02,2,4,2022
4,2022-04-03,3,4,2022
5,2022-04-04,4,4,2022
6,2022-04-05,5,4,2022
7,2022-04-06,6,4,2022
8,2022-04-07,7,4,2022
9,2022-04-08,8,4,2022
10,2022-04-09,9,4,2022
11,2022-04-10,10,4,2022
12,2022-04-11,11,4,2022
13,2022-04-12,12,4,2022
14,2022-04-13,13,4,2022
15,2022-04-14,14,4,2022
16,2022-04-15,15,4,2022
17,2022-04-16,16,4,2022
18,2022-04-17,17,4,2022
19,2022-04-18,18,4,2022
20,2022-04-19,19,4,2022
21,2022-04-20,20,4,2022
22,2022-04-21,21,4,2022
23,2022-04-22,22,4,2022
24,2022-04-23,23,4,2022
25,2022-04-24,24,4,2022
26,2022-04-25,25,4,2022
27,2022-04-26,26,4,2022
28,2022-04-27,27,4,2022
29,2022-04-28,28,4,2022
30,2022-04-29,29,4,2022
31,2022-04-30,30,4,2022
32,2022-05-01,1,5,2022
33,2022-05-02,2,5,2022
34,2022-05-03,3,5,2022
35,2022-05-04,4,5,2022
36,2022-05-05,5,5,2022
37,2022-05-06,6,5,2022
38,2022-05-07,7,5,2022
39,2022-05-08,8,5,2022
40,2022-05-09,9,5,2022
41,2022-05-10,10,5,2022
42,2022-05-11,11,5,2022
43,2022-05-12,12,5,2022
44,2022-05-13,13,5,2022
45,2022-05-14,14,5,2022
46,2022-05-15,15,5,2022
47,2022-05-16,16,5,2022
48,2022-05-17,17,5,2022
49,2022-05-18,18,5,2022
50,2022-05-19,19,5,2022
51,2022-05-20,20,5,2022
52,2022-05-21,21,5,2022
53,2022-05-22,22,5,2022
54,2022-05-23,23,5,2022
55,2022-05-24,24,5,2022
56,2022-05-25,25,5,2022
57,2022-05-26,26,5,2022
58,2022-05-27,27,5,2022
59,2022-05-28,28,5,2022
60,2022-05-29,29,5,2022
61,2022-05-30,30,5,2022
62,2022-05-31,31,5,2022
63,2022-06-01,1,6,2022
64,2022-06-02,2,6,2022
65,2022-06-03,3,6,2022
66,2022-06-04,4,6,2022
67,2022-06-05,5,6,2022
68,2022-06-06,6,6,2022
69,2022-06-07,7,6,2022
70,2022-06-08,8,6,2022
71,2022-06-09,9,6,2022
72,2022-06-10,10,6,2022
73,2022-06-11,11,6,2022
74,2022-06-12,12,6,2022
75,2022-06-13,13,6,2022
76,2022-06-14,14,6,2022
77,2022-06-15,15,6,2022
78,2022-06-16,16,6,2022
79,2022-06-17,17,6,2022
80,2022-06-18,18,6,2022
81,2022-06-19,19,6,2022
82,2022-06-20,20,6,2022
83,2022-06-21,21,6,2022
84,2022-06-22,22,6,2022
85,2022-06-23,23,6,2022
86,2022-06-24,24,6,2022
87,2022-06-25,25,6,2022
88,2022-06-26,26,6,2022
89,2022-06-27,27,6,2022
90,2022-06-28,28,6,2022
91,2022-06-29,29,6,2022
